(0,15):-0.0576578709426
(0,16):-0.0145
(0,52):0.0145
(0,86):0.0145
(1,15):2.65939584221
(1,19):-1.51965476698
(2,8):-1.84615384615
(2,21):-4.15384615385
(3,9):1.84615384615
(3,22):-4.15384615385
(4,13):2.65939584221
(4,17):4.43232640369
(5,11):-4.15384615385
(5,27):-3.46153846154
(6,12):4.15384615385
(6,28):-3.46153846154
(7,15):1.89956845872
(7,19):7.0917222459
(8,21):4.61538461538
(9,22):4.61538461538
(10,13):1.51965476698
(10,17):1.18195370765
(11,23):3.46153846154
(12,24):3.46153846154
(13,29):-9.34615384615
(13,33):4.03846153846
(14,30):-9.34615384615
(14,34):4.03846153846
(17,29):10.9615384615
(18,30):10.9615384615
(19,31):10.3846153846
(20,32):10.3846153846
(37,51):2.65939584221
(37,55):-1.51965476698
(38,44):-1.84615384615
(38,57):-4.15384615385
(39,45):1.84615384615
(39,58):-4.15384615385
(40,49):2.65939584221
(40,53):4.43232640369
(41,47):-4.15384615385
(41,63):-3.46153846154
(42,48):4.15384615385
(42,64):-3.46153846154
(43,51):1.89956845872
(43,55):7.0917222459
(44,57):4.61538461538
(45,58):4.61538461538
(46,49):1.51965476698
(46,53):1.18195370765
(47,59):3.46153846154
(48,60):3.46153846154
(49,65):-9.34615384615
(49,69):4.03846153846
(50,66):-9.34615384615
(50,70):4.03846153846
(53,65):10.9615384615
(54,66):10.9615384615
(55,67):10.3846153846
(56,68):10.3846153846
