(0,11):-0.0205356800617
(0,12):-0.0145
(0,48):0.0145
(0,80):0.0145
(1,5):-0.118397760098
(1,11):1.29673737251
(2,4):0.0338279314567
(2,10):-3.83383223176
(2,17):-3.03082191781
(3,18):-3.03082191781
(4,8):0.763007787301
(5,7):-0.434125120361
(5,15):-1.66438356164
(6,16):-1.66438356164
(7,11):0.796494022481
(8,10):-0.545347258635
(8,13):0.359589041096
(9,14):0.359589041096
(13,25):-7.1198630137
(14,26):-7.1198630137
(15,23):-4.62328767123
(16,24):-4.62328767123
(17,21):-1.46917808219
(18,22):-1.46917808219
(21,33):-12.6883561644
(22,34):-12.6883561644
(23,31):-9.06164383562
(24,32):-9.06164383562
(25,29):-4.77739726027
(26,30):-4.77739726027
(37,41):-0.118397760098
(37,47):1.29673737251
(38,40):0.0338279314567
(38,46):-3.83383223176
(38,53):-3.03082191781
(39,54):-3.03082191781
(40,44):0.763007787301
(41,43):-0.434125120361
(41,51):-1.66438356164
(42,52):-1.66438356164
(43,47):0.796494022481
(44,46):-0.545347258635
(44,49):0.359589041096
(45,50):0.359589041096
(49,61):-7.1198630137
(50,62):-7.1198630137
(51,59):-4.62328767123
(52,60):-4.62328767123
(53,57):-1.46917808219
(54,58):-1.46917808219
(57,69):-12.6883561644
(58,70):-12.6883561644
(59,67):-9.06164383562
(60,68):-9.06164383562
(61,65):-4.77739726027
(62,66):-4.77739726027
