(0,33):-0.0145
(0,34):0.0333134365446
(0,69):0.0145
(0,75):-6.22725293209e-05
(0,83):-0.000314692728386
(1,30):1.15240486496
(1,34):-5.43276579195
(2,24):0.35
(2,28):3.85
(3,23):0.35
(3,27):3.85
(4,32):-6.58517065691
(4,36):-8.19487903971
(5,22):1.25
(6,21):1.25
(7,30):-10.3716437846
(7,34):-5.76202432479
(10,32):-8.19487903971
(10,36):-6.70490103249
(11,22):-0.65
(12,21):-0.65
(13,16):-0.1
(13,20):2.5
(14,15):-0.1
(14,19):2.5
(37,66):1.15240486496
(37,70):-5.43276579195
(38,60):0.35
(38,64):3.85
(39,59):0.35
(39,63):3.85
(40,68):-6.58517065691
(40,72):-8.19487903971
(41,58):1.25
(42,57):1.25
(43,66):-10.3716437846
(43,70):-5.76202432479
(46,68):-8.19487903971
(46,72):-6.70490103249
(47,58):-0.65
(48,57):-0.65
(49,52):-0.1
(49,56):2.5
(50,51):-0.1
(50,55):2.5
