(0,18):0.00932142857143
(0,53):-0.0267697257948
(0,54):-0.0544466843453
(0,87):-0.00932142857143
(0,103):0.00334920263347
(1,49):-0.488743134692
(1,53):2.67890033978
(2,41):0.348214285714
(2,47):-3.34821428571
(2,59):-4.15178571429
(2,63):1.15178571429
(3,42):-0.348214285714
(3,48):3.34821428571
(3,60):-4.15178571429
(3,64):1.15178571429
(4,51):2.79281791253
(4,55):4.25292271592
(5,38):-0.1875
(5,57):-4.6875
(6,39):0.1875
(6,58):-4.6875
(7,49):3.2742115264
(7,53):2.44371567346
(10,51):1.92067477493
(10,55):2.84359642003
(11,38):-0.669642857143
(11,57):3.83035714286
(12,39):0.669642857143
(12,58):3.83035714286
(13,37):0.0257233228785
(13,43):-2.67890033978
(13,67):-8.57142857143
(13,71):5.57142857143
(14,68):-8.57142857143
(14,72):5.57142857143
(15,40):-0.146990416449
(15,46):-3.56696743916
(15,65):-9.10714285714
(16,66):-9.10714285714
(17,37):0.694529717721
(17,43):-0.128616614393
(19,40):1.50910160887
(19,46):-0.149662969475
(19,65):8.25
(20,66):8.25
(21,41):-0.9375
(21,47):-2.0625
(22,42):-0.9375
(22,48):-2.0625
(23,38):-1.47321428571
(24,39):-1.47321428571
(27,38):0.616071428571
(28,39):0.616071428571
(29,51):-3.75
(29,55):0.75
(30,52):-3.75
(30,56):0.75
(31,49):-4.28571428571
(32,50):-4.28571428571
(35,49):3.42857142857
(36,50):3.42857142857
