(0,23):0.0102664233577
(0,59):-0.0577410850122
(0,60):0.0328271090038
(0,74):7.0267156314e-05
(0,82):0.000542779023278
(0,90):-9.96049573435e-05
(0,98):-0.000387352611892
(1,60):-4.19534252845
(1,64):1.63127174576
(2,50):0.366788321168
(2,54):2.7098540146
(2,66):4.7901459854
(2,70):1.13321167883
(3,49):0.366788321168
(3,53):2.7098540146
(3,65):-4.7901459854
(3,69):-1.13321167883
(4,58):-6.87657647521
(4,62):-6.35384851248
(5,56):5.03649635036
(5,72):4.88321167883
(6,55):5.03649635036
(6,71):-4.88321167883
(7,60):-6.82700744426
(7,64):-9.40009077804
(8,50):-1.34124087591
(8,66):-8.61131386861
(9,49):-1.34124087591
(9,65):8.61131386861
(10,58):2.19906246389
(10,62):-7.82289433877
(11,52):-1.0401459854
(11,68):-9.73357664234
(12,51):-1.0401459854
(12,67):9.73357664234
(13,39):-0.0711678832117
(13,45):1.72445255474
(14,38):-0.0711678832117
(14,44):1.72445255474
(15,48):3.33941605839
(16,47):3.33941605839
(17,39):0.520072992701
(18,38):0.520072992701
(19,42):1.53284671533
(20,41):1.53284671533
(22,40):-1.82954786955
(22,46):-0.684953882196
(24,37):-1.67182822562
(24,43):-1.41947679534
(26,40):-2.74882807987
(26,46):-1.09352286456
(28,37):0.910267659235
(28,43):-4.35306217238
(29,39):-2.6003649635
(29,45):3.79379562044
(30,38):2.6003649635
(30,44):-3.79379562044
(31,48):3.60218978102
(32,47):-3.60218978102
(33,39):-0.695255474453
(34,38):0.695255474453
(35,42):-3.13138686131
(36,41):3.13138686131
