(0,15):-0.0145
(0,16):0.0576578709426
(0,51):0.0145
(0,74):-0.000431962839135
(0,82):-0.00551576815139
(1,16):-2.65939584221
(1,20):1.51965476698
(2,9):1.84615384615
(2,22):4.15384615385
(3,8):1.84615384615
(3,21):-4.15384615385
(4,14):-2.65939584221
(4,18):-4.43232640369
(5,12):4.15384615385
(5,28):3.46153846154
(6,11):4.15384615385
(6,27):-3.46153846154
(7,16):-1.89956845872
(7,20):-7.0917222459
(8,22):-4.61538461538
(9,21):4.61538461538
(10,14):-1.51965476698
(10,18):-1.18195370765
(11,24):-3.46153846154
(12,23):3.46153846154
(13,30):9.34615384615
(13,34):-4.03846153846
(14,29):-9.34615384615
(14,33):4.03846153846
(17,30):-10.9615384615
(18,29):10.9615384615
(19,32):-10.3846153846
(20,31):10.3846153846
(37,52):-2.65939584221
(37,56):1.51965476698
(38,45):1.84615384615
(38,58):4.15384615385
(39,44):1.84615384615
(39,57):-4.15384615385
(40,50):-2.65939584221
(40,54):-4.43232640369
(41,48):4.15384615385
(41,64):3.46153846154
(42,47):4.15384615385
(42,63):-3.46153846154
(43,52):-1.89956845872
(43,56):-7.0917222459
(44,58):-4.61538461538
(45,57):4.61538461538
(46,50):-1.51965476698
(46,54):-1.18195370765
(47,60):-3.46153846154
(48,59):3.46153846154
(49,66):9.34615384615
(49,70):-4.03846153846
(50,65):-9.34615384615
(50,69):4.03846153846
(53,66):-10.9615384615
(54,65):10.9615384615
(55,68):-10.3846153846
(56,67):10.3846153846
