(0,29):0.011414893617
(0,65):-0.061744833227
(0,66):0.0318958435002
(0,73):9.74226053205e-06
(0,81):0.000129894445334
(0,89):-4.03247019978e-05
(0,97):-0.000138570339593
(1,66):-7.0492850782
(1,70):1.6550495401
(2,60):2.47340425532
(3,59):2.47340425532
(4,68):-11.2788561251
(4,72):4.06319040532
(5,58):-2.79255319149
(5,62):4.73936170213
(6,57):-2.79255319149
(6,61):4.73936170213
(7,66):3.49399347354
(7,70):-16.3140597524
(8,60):-4.03723404255
(8,64):7.26063829787
(9,59):-4.03723404255
(9,63):7.26063829787
(10,68):4.76374047521
(10,72):-21.4835354764
(11,62):-5.02659574468
(12,61):-5.02659574468
(13,52):1.24468085106
(14,51):1.24468085106
(15,50):-0.670212765957
(15,54):2.39361702128
(16,49):-0.670212765957
(16,53):2.39361702128
(17,52):-0.797872340426
(17,56):3.79787234043
(18,51):-0.797872340426
(18,55):3.79787234043
(19,54):-0.670212765957
(20,53):-0.670212765957
(21,42):-0.558510638298
(22,41):-0.558510638298
(23,39):0.877659574468
(23,45):-0.526595744681
(24,38):0.877659574468
(24,44):-0.526595744681
(25,42):1.8670212766
(25,48):-0.239361702128
(26,41):1.8670212766
(26,47):-0.239361702128
(27,45):3.11170212766
(28,44):3.11170212766
(30,37):-3.98437852246
(30,43):1.6550495401
(32,40):-6.37500563594
(32,46):1.96154019567
(34,37):1.04206822895
(34,43):-9.22099029484
(36,40):2.66209026556
(36,46):-12.142867878
