(0,19):-0.0145
(0,20):0.0299820928902
(0,55):0.0145
(0,76):-0.000815403825107
(0,84):-0.0066660911093
(1,16):0.395110239414
(1,20):-2.63406826276
(2,9):-0.48
(2,26):4.68
(3,8):-0.48
(3,25):-4.68
(4,14):0.395110239414
(4,18):-2.15115574792
(5,24):4.32
(6,23):-4.32
(7,16):-0.921923891967
(7,20):-2.01147030975
(8,22):3.0
(9,21):-3.0
(10,14):2.63406826276
(10,18):-0.335245051624
(13,34):10.5
(14,33):-10.5
(15,32):9.72
(16,31):-9.72
(17,30):7.98
(18,29):-7.98
(37,52):0.395110239414
(37,56):-2.63406826276
(38,45):-0.48
(38,62):4.68
(39,44):-0.48
(39,61):-4.68
(40,50):0.395110239414
(40,54):-2.15115574792
(41,60):4.32
(42,59):-4.32
(43,52):-0.921923891967
(43,56):-2.01147030975
(44,58):3.0
(45,57):-3.0
(46,50):2.63406826276
(46,54):-0.335245051624
(49,70):10.5
(50,69):-10.5
(51,68):9.72
(52,67):-9.72
(53,66):7.98
(54,65):-7.98
