(0,32):0.0116
(0,67):-0.0299820928902
(0,68):-0.0623901432334
(1,67):5.6467838383
(1,71):-2.00847705036
(2,57):-0.84
(2,61):-3.24
(3,58):0.84
(3,62):3.24
(4,65):9.91068183864
(4,69):8.39609258755
(5,63):-6.0
(6,64):6.0
(7,67):10.124699885
(7,71):12.2154915686
(8,57):3.0
(9,58):-3.0
(10,65):-4.08280580728
(10,69):11.9850105956
(11,59):3.36
(12,60):-3.36
(13,53):-2.16
(14,54):2.16
(15,55):-3.96
(16,56):3.96
(17,49):0.24
(18,50):-0.24
(19,51):-0.36
(20,52):0.36
(21,38):-0.24
(22,39):0.24
(23,47):-0.84
(24,48):0.84
(25,38):-1.44
(26,39):1.44
(27,41):-3.0
(28,42):3.0
(29,40):5.30106237881
(29,46):-1.44873754452
(31,37):3.34197410838
(31,43):5.18582189231
(33,40):5.1035072591
(33,46):5.83885131579
(35,37):-1.34995998467
(35,43):7.60587210873
