(0,35):0.0121612903226
(0,71):-0.0643468897043
(0,72):0.0241791071695
(0,76):7.82837773721e-05
(0,84):0.000342101449891
(0,92):-3.0568725708e-05
(0,100):-0.000105045257433
(1,68):1.30110226689
(1,72):-5.3991318558
(4,66):2.28356724393
(4,70):-6.31963958203
(5,60):1.35483870968
(6,59):1.35483870968
(7,68):-7.62074184892
(7,72):-5.37338338793
(8,58):1.93548387097
(9,57):1.93548387097
(10,66):-10.9752844282
(10,70):-5.2719987957
(13,54):-0.870967741935
(14,53):-0.870967741935
(17,50):0.0967741935484
(18,49):0.0967741935484
(23,42):0.387096774194
(24,41):0.387096774194
(30,40):1.22144294443
(30,46):-3.89445576484
(32,37):0.770040117138
(32,43):-3.90330680067
(34,40):-3.84134954986
(34,46):-2.5684096697
(36,37):-3.62892468996
(36,43):-3.34569154343
