(0,17):0.00932142857143
(0,53):-0.0544466843453
(0,54):0.0267697257948
(0,75):0.000420339572916
(0,83):0.00397379848345
(0,91):-0.000284289149085
(0,99):-0.00182757310126
(1,50):0.488743134692
(1,54):-2.67890033978
(2,42):-0.348214285714
(2,48):3.34821428571
(2,60):4.15178571429
(2,64):-1.15178571429
(3,41):-0.348214285714
(3,47):3.34821428571
(3,59):-4.15178571429
(3,63):1.15178571429
(4,52):-2.79281791253
(4,56):-4.25292271592
(5,39):0.1875
(5,58):4.6875
(6,38):0.1875
(6,57):-4.6875
(7,50):-3.2742115264
(7,54):-2.44371567346
(10,52):-1.92067477493
(10,56):-2.84359642003
(11,39):0.669642857143
(11,58):-3.83035714286
(12,38):0.669642857143
(12,57):3.83035714286
(13,68):8.57142857143
(13,72):-5.57142857143
(14,37):-0.0257233228785
(14,43):2.67890033978
(14,67):-8.57142857143
(14,71):5.57142857143
(15,66):9.10714285714
(16,40):0.146990416449
(16,46):3.56696743916
(16,65):-9.10714285714
(18,37):-0.694529717721
(18,43):0.128616614393
(19,66):-8.25
(20,40):-1.50910160887
(20,46):0.149662969475
(20,65):8.25
(21,42):-0.9375
(21,48):-2.0625
(22,41):0.9375
(22,47):2.0625
(23,39):-1.47321428571
(24,38):1.47321428571
(27,39):0.616071428571
(28,38):-0.616071428571
(29,52):-3.75
(29,56):0.75
(30,51):3.75
(30,55):-0.75
(31,50):-4.28571428571
(32,49):4.28571428571
(35,50):3.42857142857
(36,49):-3.42857142857
