(0,22):0.00986
(0,57):-0.0359785114682
(0,58):-0.0563242291734
(1,57):5.22903707475
(1,61):-1.32238458254
(2,51):-1.896
(2,67):-2.244
(3,52):1.896
(3,68):-2.244
(4,59):8.3664593196
(4,63):-3.33868152305
(5,49):1.65
(5,53):-3.654
(5,65):6.846
(5,69):-5.85
(6,50):-1.65
(6,54):3.654
(6,66):6.846
(6,70):-5.85
(7,57):-2.30769074208
(7,61):12.1014858016
(8,51):2.256
(8,55):-5.7
(8,67):9.3
(8,71):-9.744
(9,52):-2.256
(9,56):5.7
(9,68):9.3
(9,72):-9.744
(10,59):-2.88430474772
(10,63):15.9361129897
(11,53):2.574
(11,69):11.466
(12,54):-2.574
(12,70):11.466
(13,41):-0.75
(14,42):0.75
(15,38):0.024
(15,44):-1.584
(16,39):-0.024
(16,45):1.584
(17,41):-0.294
(17,47):-2.706
(18,42):0.294
(18,48):2.706
(19,44):-0.9
(20,45):0.9
(21,37):1.77182247987
(21,43):-0.233361985154
(23,40):2.8349159678
(23,46):0.27657716759
(25,37):-0.630941663565
(25,43):4.10050345342
(27,40):-1.75824056539
(27,46):5.39983993866
(29,41):3.486
(30,42):3.486
(31,38):-1.284
(31,44):4.5
(32,39):-1.284
(32,45):4.5
(33,41):-3.45
(33,47):5.226
(34,42):-3.45
(34,48):5.226
(35,44):-5.904
(36,45):-5.904
