(0,21):-0.0529095756885
(0,22):-0.0145
(0,58):0.0145
(1,21):5.14769084899
(1,25):-1.43626929861
(2,15):-1.37647058824
(2,31):-2.59411764706
(3,16):1.37647058824
(3,32):-2.59411764706
(4,23):8.23630535838
(4,27):-3.74773682974
(5,13):0.661764705882
(5,17):-2.90294117647
(5,29):7.59705882353
(5,33):-6.83823529412
(6,14):-0.661764705882
(6,18):2.90294117647
(6,30):7.59705882353
(6,34):-6.83823529412
(7,21):-1.86842112297
(7,25):11.9132273934
(8,15):0.494117647059
(8,19):-4.85294117647
(8,31):10.1470588235
(8,35):-11.5058823529
(9,16):-0.494117647059
(9,20):4.85294117647
(9,32):10.1470588235
(9,36):-11.5058823529
(10,23):-1.9174467501
(10,27):15.6882006826
(11,17):-0.0970588235294
(11,33):12.2735294118
(12,18):0.0970588235294
(12,34):12.2735294118
(37,57):5.14769084899
(37,61):-1.43626929861
(38,51):-1.37647058824
(38,67):-2.59411764706
(39,52):1.37647058824
(39,68):-2.59411764706
(40,59):8.23630535838
(40,63):-3.74773682974
(41,49):0.661764705882
(41,53):-2.90294117647
(41,65):7.59705882353
(41,69):-6.83823529412
(42,50):-0.661764705882
(42,54):2.90294117647
(42,66):7.59705882353
(42,70):-6.83823529412
(43,57):-1.86842112297
(43,61):11.9132273934
(44,51):0.494117647059
(44,55):-4.85294117647
(44,67):10.1470588235
(44,71):-11.5058823529
(45,52):-0.494117647059
(45,56):4.85294117647
(45,68):10.1470588235
(45,72):-11.5058823529
(46,59):-1.9174467501
(46,63):15.6882006826
(47,53):-0.0970588235294
(47,69):12.2735294118
(48,54):0.0970588235294
(48,70):12.2735294118
