(0,11):0.00936725663717
(0,47):-0.0546064482006
(0,48):0.0132664127833
(0,76):0.00360798152702
(0,84):-0.00825887394073
(0,92):-0.00140886657953
(0,100):0.00253595984316
(1,42):0.222176664862
(1,48):-1.32334734809
(2,54):3.28539823009
(3,40):-0.313232675052
(3,46):4.41925169453
(3,53):-3.28539823009
(4,39):0.269525790161
(4,45):-1.17280141124
(5,52):2.66814159292
(6,37):-0.069202567744
(6,43):1.30027982551
(6,51):-2.66814159292
(7,42):-0.739374802739
(7,48):-1.07081867983
(8,50):1.62610619469
(9,40):0.186968340922
(9,46):1.09399657333
(9,49):-1.62610619469
(10,39):0.534195259778
(10,45):-0.389388610847
(12,37):-0.352083239399
(12,43):0.041720208305
(13,45):2.0907079646
(13,62):6.9889380531
(14,44):-2.0907079646
(14,61):-6.9889380531
(15,42):0.517699115044
(15,60):5.64159292035
(16,41):-0.517699115044
(16,59):-5.64159292035
(17,39):-0.630530973451
(17,58):3.86946902655
(18,38):0.630530973451
(18,57):-3.86946902655
(21,54):1.97123893805
(21,70):11.6482300885
(22,53):-1.97123893805
(22,69):-11.6482300885
(23,52):-0.33185840708
(23,68):9.57079646018
(24,51):0.33185840708
(24,67):-9.57079646018
(25,50):-2.21017699115
(25,66):7.0685840708
(26,49):2.21017699115
(26,65):-7.0685840708
(29,62):0.896017699115
(30,61):-0.896017699115
(31,60):-2.13716814159
(32,59):2.13716814159
(33,58):-4.74557522124
(34,57):4.74557522124
