(0,31):0.0116
(0,67):-0.0623901432334
(0,68):0.0299820928902
(0,74):2.67405567084e-05
(0,82):0.000182521782464
(0,90):-3.7905219878e-05
(0,98):-0.000130256119217
(1,68):-5.6467838383
(1,72):2.00847705036
(2,58):0.84
(2,62):3.24
(3,57):0.84
(3,61):3.24
(4,66):-9.91068183864
(4,70):-8.39609258755
(5,64):6.0
(6,63):6.0
(7,68):-10.124699885
(7,72):-12.2154915686
(8,58):-3.0
(9,57):-3.0
(10,66):4.08280580728
(10,70):-11.9850105956
(11,60):-3.36
(12,59):-3.36
(13,54):2.16
(14,53):2.16
(15,56):3.96
(16,55):3.96
(17,50):-0.24
(18,49):-0.24
(19,52):0.36
(20,51):0.36
(21,39):0.24
(22,38):0.24
(23,48):0.84
(24,47):0.84
(25,39):1.44
(26,38):1.44
(27,42):3.0
(28,41):3.0
(30,40):-5.30106237881
(30,46):1.44873754452
(32,37):-3.34197410838
(32,43):-5.18582189231
(34,40):-5.1035072591
(34,46):-5.83885131579
(36,37):1.34995998467
(36,43):-7.60587210873
