(0,13):-0.0749552322254
(0,14):-0.0145
(0,50):0.0145
(0,85):0.0145
(1,13):3.2411386827
(1,17):-1.22443016902
(2,5):-0.675
(2,23):-1.575
(3,6):0.675
(3,24):-1.575
(4,15):5.18582189231
(4,19):-3.45721459488
(5,8):-1.875
(5,21):5.625
(5,25):-5.175
(6,9):1.875
(6,22):5.625
(6,26):-5.175
(7,13):-0.21607591218
(7,17):7.50092095138
(8,11):-3.675
(8,23):6.825
(8,27):-9.375
(9,12):3.675
(9,24):6.825
(9,28):-9.375
(10,15):0.987775598536
(10,19):9.87775598536
(11,25):7.425
(12,26):7.425
(15,29):10.8
(15,33):-4.8
(16,30):10.8
(16,34):-4.8
(17,31):13.2
(17,35):-10.2
(18,32):13.2
(18,36):-10.2
(19,33):15.0
(20,34):15.0
(37,49):3.2411386827
(37,53):-1.22443016902
(38,41):-0.675
(38,59):-1.575
(39,42):0.675
(39,60):-1.575
(40,51):5.18582189231
(40,55):-3.45721459488
(41,44):-1.875
(41,57):5.625
(41,61):-5.175
(42,45):1.875
(42,58):5.625
(42,62):-5.175
(43,49):-0.21607591218
(43,53):7.50092095138
(44,47):-3.675
(44,59):6.825
(44,63):-9.375
(45,48):3.675
(45,60):6.825
(45,64):-9.375
(46,51):0.987775598536
(46,55):9.87775598536
(47,61):7.425
(48,62):7.425
(51,65):10.8
(51,69):-4.8
(52,66):10.8
(52,70):-4.8
(53,67):13.2
(53,71):-10.2
(54,68):13.2
(54,72):-10.2
(55,69):15.0
(56,70):15.0
