(0,19):0.0103571428571
(0,55):-0.0580573474762
(0,56):0.0214157806358
(0,76):0.000582431303648
(0,84):0.0047614936495
(0,92):-0.000227431319268
(0,100):-0.00146205848101
(1,52):0.5174062659
(1,56):-2.66542621827
(2,45):-0.771428571429
(2,62):4.62857142857
(3,44):-0.771428571429
(3,61):-4.62857142857
(4,50):0.752590932218
(4,54):-2.63406826276
(5,60):4.8
(6,59):-4.8
(7,52):-2.30480972992
(7,56):-2.33474232381
(8,39):0.0857142857143
(8,58):4.28571428571
(9,38):0.0857142857143
(9,57):-4.28571428571
(10,50):-1.25431822036
(10,54):-1.43676450696
(13,70):9.64285714286
(14,40):-0.188147733054
(14,46):5.01727288145
(14,69):-9.64285714286
(15,68):9.51428571429
(16,37):0.0470369332636
(16,43):0.987775598536
(16,67):-9.51428571429
(17,66):8.7
(18,40):-0.439011377127
(18,46):0.957843004641
(18,65):-8.7
(20,37):-1.09752844282
(20,43):-0.53878669011
(23,42):-1.37142857143
(24,41):1.37142857143
(25,39):-2.05714285714
(26,38):2.05714285714
(29,54):-2.7
(30,53):2.7
(31,52):-4.37142857143
(32,51):4.37142857143
(33,50):-5.35714285714
(34,49):5.35714285714
