(0,26):0.0108057324841
(0,61):-0.0286453116785
(0,62):-0.0596212015712
(1,57):-0.832649215724
(1,61):4.06100815839
(2,55):-3.64012738854
(2,67):-5.35987261146
(3,56):3.64012738854
(3,68):-5.35987261146
(4,59):4.75799551843
(4,63):6.20243382732
(5,49):-0.78821656051
(5,65):-7.00796178344
(6,50):0.78821656051
(6,66):-7.00796178344
(7,57):7.08685737445
(7,61):4.16324607862
(10,59):5.35831561414
(10,63):4.84450452785
(11,49):0.300955414013
(11,65):8.24044585987
(12,50):-0.300955414013
(12,66):8.24044585987
(13,41):0.358280254777
(13,47):-3.13853503185
(14,42):-0.358280254777
(14,48):3.13853503185
(19,38):-1.34713375796
(20,39):1.34713375796
(21,37):-0.28213733756
(21,43):0.71664849854
(23,40):1.61221335748
(23,46):-0.513811086287
(25,37):1.93760519976
(25,43):1.4106866878
(27,40):3.26637047711
(27,46):1.64152632762
(29,41):-3.56847133758
(29,47):2.50796178344
(30,42):-3.56847133758
(30,48):2.50796178344
(31,38):-3.06687898089
(32,39):-3.06687898089
