(0,20):0.0103571428571
(0,55):-0.0214157806358
(0,56):-0.0580573474762
(0,88):-0.0103571428571
(0,104):0.00267936210678
(1,51):-0.5174062659
(1,55):2.66542621827
(2,44):0.771428571429
(2,61):-4.62857142857
(3,45):-0.771428571429
(3,62):-4.62857142857
(4,49):-0.752590932218
(4,53):2.63406826276
(5,59):-4.8
(6,60):-4.8
(7,51):2.30480972992
(7,55):2.33474232381
(8,38):-0.0857142857143
(8,57):-4.28571428571
(9,39):0.0857142857143
(9,58):-4.28571428571
(10,49):1.25431822036
(10,53):1.43676450696
(13,40):0.188147733054
(13,46):-5.01727288145
(13,69):-9.64285714286
(14,70):-9.64285714286
(15,37):-0.0470369332636
(15,43):-0.987775598536
(15,67):-9.51428571429
(16,68):-9.51428571429
(17,40):0.439011377127
(17,46):-0.957843004641
(17,65):-8.7
(18,66):-8.7
(19,37):1.09752844282
(19,43):0.53878669011
(23,41):-1.37142857143
(24,42):-1.37142857143
(25,38):-2.05714285714
(26,39):-2.05714285714
(29,53):-2.7
(30,54):-2.7
(31,51):-4.37142857143
(32,52):-4.37142857143
(33,49):-5.35714285714
(34,50):-5.35714285714
