(0,8):-0.0145
(0,9):0.0333134365446
(0,44):0.0145
(0,75):-0.00523089246295
(0,83):0.013846480049
(1,3):0.0720253040599
(1,9):-1.26558748562
(2,16):2.6
(2,20):-2.9
(3,7):2.12989113434
(3,15):-2.6
(3,19):2.9
(4,6):-0.411573166057
(4,12):-2.43285471491
(5,14):1.25
(6,10):3.32916960988
(6,13):-1.25
(7,9):-0.3601265203
(10,12):-0.41905631453
(11,14):3.85
(12,13):-3.85
(13,24):6.65
(13,28):-8.75
(14,23):-6.65
(14,27):8.75
(15,22):4.4
(16,21):-4.4
(19,22):2.5
(20,21):-2.5
(21,32):12.5
(21,36):-16.4
(22,31):-12.5
(22,35):16.4
(23,30):9.35
(24,29):-9.35
(27,30):-0.65
(28,29):0.65
(37,39):0.0720253040599
(37,45):-1.26558748562
(38,52):2.6
(38,56):-2.9
(39,43):2.12989113434
(39,51):-2.6
(39,55):2.9
(40,42):-0.411573166057
(40,48):-2.43285471491
(41,50):1.25
(42,46):3.32916960988
(42,49):-1.25
(43,45):-0.3601265203
(46,48):-0.41905631453
(47,50):3.85
(48,49):-3.85
(49,60):6.65
(49,64):-8.75
(50,59):-6.65
(50,63):8.75
(51,58):4.4
(52,57):-4.4
(55,58):2.5
(56,57):-2.5
(57,68):12.5
(57,72):-16.4
(58,67):-12.5
(58,71):16.4
(59,66):9.35
(60,65):-9.35
(63,66):-0.65
(64,65):0.65
