(0,36):0.0121612903226
(0,71):-0.0241791071695
(0,72):-0.0643468897043
(1,67):-1.30110226689
(1,71):5.3991318558
(4,65):-2.28356724393
(4,69):6.31963958203
(5,59):-1.35483870968
(6,60):1.35483870968
(7,67):7.62074184892
(7,71):5.37338338793
(8,57):-1.93548387097
(9,58):1.93548387097
(10,65):10.9752844282
(10,69):5.2719987957
(13,53):0.870967741935
(14,54):-0.870967741935
(17,49):-0.0967741935484
(18,50):0.0967741935484
(23,41):-0.387096774194
(24,42):0.387096774194
(29,40):-1.22144294443
(29,46):3.89445576484
(31,37):-0.770040117138
(31,43):3.90330680067
(33,40):3.84134954986
(33,46):2.5684096697
(35,37):3.62892468996
(35,43):3.34569154343
