(0,33):-0.0333134365446
(0,34):-0.0145
(0,70):0.0145
(1,29):-1.15240486496
(1,33):5.43276579195
(2,23):-0.35
(2,27):-3.85
(3,24):0.35
(3,28):3.85
(4,31):6.58517065691
(4,35):8.19487903971
(5,21):-1.25
(6,22):1.25
(7,29):10.3716437846
(7,33):5.76202432479
(10,31):8.19487903971
(10,35):6.70490103249
(11,21):0.65
(12,22):-0.65
(13,15):0.1
(13,19):-2.5
(14,16):-0.1
(14,20):2.5
(37,65):-1.15240486496
(37,69):5.43276579195
(38,59):-0.35
(38,63):-3.85
(39,60):0.35
(39,64):3.85
(40,67):6.58517065691
(40,71):8.19487903971
(41,57):-1.25
(42,58):1.25
(43,65):10.3716437846
(43,69):5.76202432479
(46,67):8.19487903971
(46,71):6.70490103249
(47,57):0.65
(48,58):-0.65
(49,51):0.1
(49,55):-2.5
(50,52):-0.1
(50,56):2.5
