(0,13):-0.0145
(0,14):0.0749552322254
(0,49):0.0145
(0,73):-0.000192312222903
(0,81):-0.00479681630269
(1,14):-3.2411386827
(1,18):1.22443016902
(2,6):0.675
(2,24):1.575
(3,5):0.675
(3,23):-1.575
(4,16):-5.18582189231
(4,20):3.45721459488
(5,9):1.875
(5,22):-5.625
(5,26):5.175
(6,8):1.875
(6,21):5.625
(6,25):-5.175
(7,14):0.21607591218
(7,18):-7.50092095138
(8,12):3.675
(8,24):-6.825
(8,28):9.375
(9,11):3.675
(9,23):6.825
(9,27):-9.375
(10,16):-0.987775598536
(10,20):-9.87775598536
(11,26):-7.425
(12,25):7.425
(15,30):-10.8
(15,34):4.8
(16,29):10.8
(16,33):-4.8
(17,32):-13.2
(17,36):10.2
(18,31):13.2
(18,35):-10.2
(19,34):-15.0
(20,33):15.0
(37,50):-3.2411386827
(37,54):1.22443016902
(38,42):0.675
(38,60):1.575
(39,41):0.675
(39,59):-1.575
(40,52):-5.18582189231
(40,56):3.45721459488
(41,45):1.875
(41,58):-5.625
(41,62):5.175
(42,44):1.875
(42,57):5.625
(42,61):-5.175
(43,50):0.21607591218
(43,54):-7.50092095138
(44,48):3.675
(44,60):-6.825
(44,64):9.375
(45,47):3.675
(45,59):6.825
(45,63):-9.375
(46,52):-0.987775598536
(46,56):-9.87775598536
(47,62):-7.425
(48,61):7.425
(51,66):-10.8
(51,70):4.8
(52,65):10.8
(52,69):-4.8
(53,68):-13.2
(53,72):10.2
(54,67):13.2
(54,71):-10.2
(55,70):-15.0
(56,69):15.0
