(0,15):0.00819565217391
(0,51):-0.0505220505073
(0,52):0.0325892314023
(0,74):0.000244152909076
(0,82):0.00311760808557
(0,90):-0.000346091138016
(0,98):-0.00222487160153
(1,52):-2.75575076403
(1,56):1.21682501269
(2,45):2.34782608696
(2,58):3.65217391304
(3,44):2.34782608696
(3,57):-3.65217391304
(4,50):-4.00836474768
(4,54):-4.29467651537
(5,48):4.30434782609
(5,64):2.60869565217
(6,47):4.30434782609
(6,63):-2.60869565217
(7,52):-3.75784195095
(7,56):-6.51359271498
(8,39):-0.260869565217
(8,58):-5.21739130435
(9,38):-0.260869565217
(9,57):5.21739130435
(10,50):0.572623535383
(10,54):-4.00836474768
(11,42):0.391304347826
(11,60):-5.21739130435
(12,41):0.391304347826
(12,59):5.21739130435
(13,66):7.23913043478
(13,70):-2.9347826087
(14,40):1.00209118692
(14,46):-2.29049414153
(14,65):-7.23913043478
(14,69):2.9347826087
(16,37):-0.25052279673
(16,43):1.61050369327
(17,66):-9.45652173913
(18,40):-0.715779419229
(18,46):2.67224316512
(18,65):9.45652173913
(19,68):-9.78260869565
(20,37):0.50104559346
(20,43):-1.50313678038
(20,67):9.78260869565
(21,39):-1.04347826087
(22,38):1.04347826087
(23,48):-1.30434782609
(24,47):1.30434782609
(27,42):-1.30434782609
(28,41):1.30434782609
(29,50):-3.32608695652
(29,54):2.9347826087
(30,49):3.32608695652
(30,53):-2.9347826087
(31,56):1.95652173913
(32,55):-1.95652173913
(33,50):1.63043478261
(34,49):-1.63043478261
