(0,29):-0.0145
(0,30):0.0405163417434
(0,65):0.0145
(0,73):-1.23753039191e-05
(0,81):-0.000165001052181
(1,30):-7.00786742205
(1,34):1.71303425872
(2,24):2.12837837838
(3,23):2.12837837838
(4,32):-11.2125878753
(4,36):4.27146204772
(5,22):-2.12837837838
(5,26):4.19594594595
(6,21):-2.12837837838
(6,25):4.19594594595
(7,30):3.27033813029
(7,34):-16.2182074624
(8,24):-2.89864864865
(8,28):6.58783783784
(9,23):-2.89864864865
(9,27):6.58783783784
(10,32):4.27146204772
(10,36):-21.3573102386
(11,26):-3.34459459459
(12,25):-3.34459459459
(13,16):0.364864864865
(14,15):0.364864864865
(15,18):1.01351351351
(16,17):1.01351351351
(17,20):1.98648648649
(18,19):1.98648648649
(37,66):-7.00786742205
(37,70):1.71303425872
(38,60):2.12837837838
(39,59):2.12837837838
(40,68):-11.2125878753
(40,72):4.27146204772
(41,58):-2.12837837838
(41,62):4.19594594595
(42,57):-2.12837837838
(42,61):4.19594594595
(43,66):3.27033813029
(43,70):-16.2182074624
(44,60):-2.89864864865
(44,64):6.58783783784
(45,59):-2.89864864865
(45,63):6.58783783784
(46,68):4.27146204772
(46,72):-21.3573102386
(47,62):-3.34459459459
(48,61):-3.34459459459
(49,52):0.364864864865
(50,51):0.364864864865
(51,54):1.01351351351
(52,53):1.01351351351
(53,56):1.98648648649
(54,55):1.98648648649
